SEX,AGE,EDUCATION,INCOME,ACTIVITY,CHURN,NEGTWEETS,STATE
F,71,4,28843,4,0,4,OK
M,52,4,28840,2,0,3,NM
F,25,1,28834,2,1,14,PA
F,40,1,28825,2,0,4,TN
M,45,1,28818,2,0,2,WI
F,20,1,28815,2,1,15,CA
F,23,1,28777,1,0,4,AL
F,29,1,28776,2,1,7,PA
F,57,4,28771,0,0,3,TX
F,53,1,28770,2,0,2,WV
M,51,1,28736,1,0,4,OR
M,58,1,28700,5,0,3,IL
F,83,4,28669,0,1,12,MD
M,31,2,28665,3,0,3,IA
F,42,4,28661,2,0,4,CO
F,37,1,28647,0,1,8,MI
F,33,2,28622,5,0,3,NM
M,60,4,28614,5,0,3,KY
M,54,4,28588,2,0,2,FL
M,53,4,28577,3,0,3,VA
M,30,4,28576,2,0,2,VA
F,58,1,28566,2,0,1,NE
M,35,4,28545,5,0,4,MA
M,35,1,28537,3,0,3,NJ
F,36,1,28529,2,0,4,MA
M,48,1,28528,4,0,4,LA
F,44,1,28522,4,0,4,MA
F,54,1,28515,5,0,3,MS
M,37,1,28513,0,0,3,CO
M,60,1,28510,1,0,2,VA
F,39,1,28502,1,1,9,OR
M,64,1,28486,1,1,5,CA
F,43,4,28479,0,0,2,AK
F,68,1,28470,0,0,2,PA
F,72,1,28466,3,0,3,UT
F,27,4,28438,5,0,2,WI
F,61,4,28425,1,0,4,WY
M,30,1,28400,0,1,5,OR
M,44,4,28391,4,0,5,CA
M,59,4,28380,2,0,4,NV
F,29,4,28346,2,0,4,WY
F,55,1,28344,1,0,5,VA
F,51,1,28326,1,1,8,OR
M,73,4,28320,2,0,2,UT
M,51,4,28311,3,0,3,MA
F,51,1,28295,1,1,11,WA
M,55,4,28256,3,1,11,PA
F,29,1,28234,1,1,11,MD
F,40,1,28225,2,0,3,WY
F,47,4,28206,5,0,2,IL
F,64,1,28193,2,1,11,MD
M,56,1,28189,2,1,8,MD
M,65,1,28168,1,1,11,OR
F,53,4,28160,0,0,3,AZ
M,25,4,28146,4,0,4,IA
M,34,1,28116,2,0,2,NC
F,22,4,28084,3,0,2,IN
F,46,1,28067,4,0,1,WV
F,24,2,28063,3,1,13,MI
F,69,2,28034,1,0,4,FL
F,36,1,28033,1,1,11,ID
F,30,1,27968,2,1,12,MD
F,54,4,27942,2,1,9,PA
M,35,4,27921,5,0,2,AZ
F,50,1,27910,4,0,2,NJ
F,23,1,27906,0,1,11,ND
M,72,4,27892,3,0,2,IN
M,38,4,27875,2,0,2,MS
M,51,1,27859,1,1,11,MD
F,56,1,27853,3,0,4,NC
M,52,4,27843,0,0,1,VT
M,55,1,27813,1,0,3,NM
F,89,1,27804,3,0,3,WV
M,57,1,27778,0,0,3,KS
F,54,4,27766,2,0,1,UT
F,67,1,27740,3,1,16,ND
M,56,1,27732,4,0,2,VA
F,52,1,27726,0,0,3,WY
M,69,1,27715,1,0,3,NM
M,27,4,27666,0,1,13,OR
F,71,4,27655,0,0,1,PA
M,66,2,27653,1,0,5,AK
F,52,4,27653,4,0,3,CT
M,42,4,27648,3,0,4,MS
M,59,1,27641,2,0,3,NC
M,43,4,27638,1,0,3,GA
M,42,4,27628,2,0,2,SD
F,32,2,27618,1,1,12,CA
M,41,1,27615,1,1,11,PA
F,51,2,27601,3,0,3,WA
F,48,1,27592,3,0,3,NJ
M,80,4,27511,1,0,4,ND
M,26,4,27501,2,0,5,VA
M,64,1,27496,2,0,3,WV
F,32,1,27496,1,1,10,ND
M,88,1,27495,1,0,4,AR
M,31,4,27478,2,1,11,ND
F,42,2,27478,1,0,3,NV
M,78,4,27476,3,0,2,WY
M,61,4,27454,2,0,4,CT
M,75,1,27450,0,0,4,NM
M,44,4,27431,5,0,3,SD
F,58,1,27430,1,0,4,AK
M,48,1,27423,5,0,4,OR
M,27,1,27420,2,1,4,MD
M,42,1,27399,2,0,4,DE
M,30,4,27388,3,1,10,MD
M,32,1,27382,2,0,3,OK
F,79,1,27381,5,0,3,ID
M,57,4,27370,1,1,8,WA
M,63,1,27335,5,1,10,WA
F,79,1,27332,0,1,5,MI
M,51,1,27302,2,0,2,VA
M,24,1,27288,5,0,4,NJ
F,32,1,27286,2,0,4,SD
F,57,2,27268,4,0,4,TN
F,26,1,27264,1,1,13,ND
M,35,4,27251,2,0,1,RI
M,72,4,27250,1,1,7,CA
F,65,4,27250,3,0,4,MS
M,45,1,27229,5,0,4,DC
F,53,4,27227,4,0,3,NC
M,27,1,27216,3,0,4,DC
F,39,4,27204,3,0,4,DE
M,67,4,27176,4,0,4,CA
M,44,1,27170,3,0,3,UT
M,21,4,27159,4,0,3,NM
F,51,1,27145,5,0,3,SC
F,51,1,27116,4,0,3,IN
M,26,1,27111,1,1,11,CA
F,36,2,27085,3,0,3,WV
M,76,2,27085,4,1,10,OR
M,51,4,27081,4,0,1,DC
F,50,1,27077,1,1,11,MI
F,48,1,27061,3,0,3,VT
F,54,1,27060,5,0,4,IL
F,21,4,27048,0,1,18,MD
M,62,1,27007,5,0,4,KY
F,57,1,26996,3,0,3,ME
F,75,4,26985,4,0,4,NV
M,28,1,26984,2,0,4,MI
M,25,1,26981,0,1,8,PA
M,61,1,26980,5,0,3,MD
M,50,4,26952,2,0,1,MA
M,88,4,26950,3,0,2,OR
F,53,4,26950,3,0,4,ND
M,34,1,26901,2,0,2,NM
F,25,1,26888,1,1,8,ND
F,86,1,26829,1,1,11,OR
M,32,4,26822,3,0,3,TX
F,55,1,26814,0,0,5,MI
F,48,1,26808,4,0,2,CO
M,40,4,26802,0,1,13,ND
F,60,4,26799,4,0,3,IL
M,35,4,26797,2,0,4,NC
F,57,1,26786,2,0,3,MD
M,53,1,26739,1,0,3,CT
M,40,1,26738,1,0,2,ME
M,47,1,26738,5,0,0,WV
M,39,1,26736,0,1,10,ND
M,70,1,26703,2,0,4,WY
F,20,4,26700,1,1,15,PA
F,26,2,26666,1,1,5,MI
M,21,1,26655,5,0,3,IA
F,31,4,26650,2,0,4,VA
M,51,4,26639,4,0,4,AR
F,40,1,26639,2,0,4,KS
M,76,1,26571,1,0,3,FL
M,35,4,26556,3,0,3,ID
F,26,4,26552,0,1,10,OR
F,90,4,26531,4,0,3,WV
F,52,4,26524,4,0,4,WV
M,38,1,26522,2,1,6,PA
M,75,4,26522,4,0,1,OH
M,53,4,26503,0,1,12,WA
F,57,4,26497,2,0,5,AK
F,24,1,26490,2,0,9,KY
F,44,1,26487,2,0,3,FL
M,60,4,26475,1,1,10,OR
M,65,4,26455,2,1,12,MD
F,67,4,26403,3,0,3,AL
F,35,4,26402,3,0,2,LA
M,53,1,26400,4,0,5,NE
M,56,1,26387,4,0,3,KY
M,44,1,26377,3,0,3,MA
M,50,4,26375,3,0,3,RI
F,56,1,26363,1,1,10,PA
M,59,4,26359,4,0,2,AK
M,75,1,26344,2,0,3,MN
M,55,4,26337,1,0,2,AR
M,62,4,26305,1,0,5,ME
M,54,1,26297,2,0,4,SD
M,60,1,26239,1,0,2,VA
M,89,1,26236,1,0,3,NM
M,28,1,26204,2,0,4,NE
F,40,1,26197,2,0,3,WY
M,29,4,26186,4,0,4,NE
M,22,1,26166,1,1,10,OR
M,54,1,26160,3,0,3,FL
M,38,4,26146,2,0,4,SD
M,27,1,26144,2,0,3,NH
M,26,4,26105,1,1,16,PA
F,64,4,26103,2,0,3,FL
M,64,4,26092,5,0,3,KY
F,42,1,26058,2,0,2,LA
F,49,4,26045,5,0,2,GA
F,61,2,26028,3,0,4,IN
M,33,1,26007,1,0,3,DE
M,26,1,25997,0,1,11,MD
F,46,4,25978,2,1,8,WA
F,56,4,25957,4,0,2,IA
F,69,4,25954,2,0,4,MS
M,38,1,25923,3,0,3,KY
M,59,2,25919,3,0,5,NE
F,60,1,25907,2,0,2,OK
M,66,1,25891,4,0,3,OK
M,53,1,25885,2,1,7,ND
M,50,1,25877,2,0,3,ID
F,68,1,25872,3,0,4,AK
F,53,4,25854,3,0,3,ID
F,44,4,25838,4,0,3,MD
M,56,1,25831,3,0,2,KY
F,42,1,25815,1,1,14,MI
F,58,1,25812,0,0,4,MD
M,34,4,25787,2,1,12,OR
M,81,4,25758,2,0,3,OK
F,52,4,25755,2,0,3,TX
M,88,1,25750,5,0,2,AR
F,56,1,25747,2,0,1,AK
F,77,2,25737,2,0,3,CT
M,44,2,25719,1,0,3,LA
M,67,4,25677,1,0,2,OH
M,43,4,25660,5,0,3,TX
F,30,1,25642,0,1,9,CA
M,60,4,25620,2,0,1,MI
F,40,4,25611,3,0,3,KS
F,59,2,25606,3,0,4,TN
F,43,4,25604,2,0,3,ND
F,28,1,25604,2,1,8,MI
F,53,1,25575,0,0,2,IA
F,67,1,25535,4,0,2,NJ
M,20,2,25513,2,1,6,CA
F,38,2,25504,2,0,1,KS
M,49,1,25468,5,0,1,NE
M,49,1,25464,4,0,3,WY
M,25,1,25430,1,0,3,UT
F,45,1,25406,2,0,2,IL
F,39,4,25395,1,1,16,ND
F,31,4,25384,5,0,2,OH
F,43,2,25361,2,0,3,SD
F,60,4,25333,1,0,3,LA
F,43,1,25324,3,0,4,DE
F,30,1,25322,2,0,3,AZ
F,33,1,25313,2,0,4,MT
F,33,4,25311,5,0,4,KY
M,48,4,25306,2,0,3,FL
M,86,4,25281,2,0,3,CO
F,38,4,25270,1,1,11,WA
M,27,1,25246,5,1,13,CA
M,75,1,25213,2,0,3,TN
M,32,4,25199,3,0,3,AR
F,53,1,25171,4,0,3,NC
M,44,4,25169,2,1,15,CA
F,71,1,25139,3,0,3,KS
M,25,4,25128,1,0,4,IL
F,43,4,25116,4,0,3,MS
F,49,4,25112,2,0,3,AZ
M,38,4,25098,3,0,3,NH
M,63,1,25095,1,1,8,MD
M,45,4,25085,1,0,3,IL
M,56,1,25048,2,1,7,CA
F,25,1,25026,2,1,9,CA
M,73,1,25026,2,0,3,OK
M,31,4,24972,5,0,4,ND
M,51,4,24964,1,0,2,MS
M,74,1,24935,1,0,3,OK
M,53,1,24924,0,0,4,ID
M,49,4,24921,0,0,2,PA
M,38,2,24920,5,0,3,VA
F,66,1,24920,1,0,4,ND
M,65,1,24918,2,0,3,VT
M,21,1,24877,2,1,9,WA
M,47,1,24869,4,0,3,KS
M,40,1,24825,1,1,1,MD
F,55,4,24819,1,1,5,CA
M,40,4,24808,0,1,6,CA
F,39,4,24759,2,0,3,MD
F,56,4,24758,2,0,1,NV
F,46,4,24735,4,0,5,CO
F,74,4,24730,1,1,7,ND
M,68,1,24723,2,0,3,AL
F,44,4,24689,1,1,8,CA
M,61,4,24661,3,0,5,IA
M,43,4,24647,1,1,12,MI
F,46,2,24638,3,0,3,KY
M,62,1,24637,4,0,2,PA
F,36,1,24636,4,0,4,SD
M,28,1,24617,3,0,3,DE
M,43,2,24611,0,1,10,ND
M,63,4,24610,2,0,5,CT
F,57,4,24593,2,0,4,WV
M,58,1,24591,2,0,3,KS
M,51,4,24590,3,0,3,MT
F,34,1,24577,2,0,3,TN
F,65,4,24569,2,0,3,IN
F,49,1,24564,1,0,3,FL
F,60,2,24562,2,0,2,OK
M,58,4,24548,0,1,9,ND
M,55,2,24537,4,0,3,KY
M,50,1,24530,3,0,4,LA
F,28,1,24525,2,0,12,ND
M,55,1,24519,2,0,2,CT
F,74,4,24515,3,0,3,MS
M,63,1,24507,4,0,4,WI
M,33,4,24494,2,0,3,IL
F,70,1,24478,1,1,13,CA
F,31,1,24436,2,1,12,ID
M,63,1,24430,3,0,2,WA
M,77,1,24422,5,0,5,CT
F,35,4,24405,1,1,11,MD
F,68,1,24385,1,0,3,MS
F,48,1,24377,0,1,11,WA
M,51,1,24359,5,0,2,CA
F,34,4,24334,0,1,12,PA
F,31,1,24311,2,0,6,WY
M,64,1,24291,3,0,2,OR
M,32,1,24270,4,0,3,FL
M,51,1,24270,1,0,4,OH
F,22,4,24262,3,0,3,WI
F,39,4,24260,5,0,2,TN
M,27,1,24259,4,0,3,WI
M,65,4,24243,2,0,4,GA
M,46,1,24237,2,1,4,MI
F,35,4,24233,2,0,3,KY
M,35,1,24208,2,0,2,SC
M,69,1,24171,0,0,4,MS
M,36,2,24149,2,0,2,GA
M,36,1,24146,4,0,2,TX
F,32,4,24136,1,1,11,ND
M,66,1,24122,4,0,3,NC
M,54,1,24116,2,1,8,MI
M,41,2,24113,3,0,5,AR
F,35,2,24111,0,1,11,CA
F,25,4,24111,1,1,6,PA
F,76,4,24097,1,0,2,IN
F,37,4,24080,3,0,1,MO
F,30,1,24030,4,0,2,CA
M,31,4,24023,0,1,8,MI
M,33,1,24020,2,1,7,CA
M,21,1,24009,0,1,11,WA
F,31,4,23992,0,1,12,ND
F,40,1,23988,3,0,4,OH
M,26,4,23948,2,0,2,DC
F,33,4,23933,0,1,15,OR
F,61,1,23930,1,0,3,SD
M,60,4,23922,2,0,2,TX
M,60,4,23921,1,0,4,CO
M,49,1,23895,5,0,4,GA
M,53,4,23894,2,0,4,AR
M,52,1,23859,1,0,4,NH
M,26,4,23848,3,0,3,OK
M,80,1,23824,5,0,1,MD
M,83,1,23817,2,0,3,MN
F,66,1,23804,4,0,1,MS
F,55,4,23766,1,0,3,CT
M,48,1,23750,0,1,6,MD
M,52,4,23719,2,0,5,TX
M,81,4,23715,2,0,3,MT
M,78,1,23696,5,0,2,OR
F,72,1,23688,0,1,8,ID
F,54,1,23674,1,0,3,OR
M,42,1,23650,2,0,2,NM
F,42,1,23635,2,0,4,IN
F,52,4,23626,1,0,5,WI
M,56,1,23591,2,0,3,AR
F,61,4,23532,5,0,4,CO
F,81,4,23523,2,0,3,ME
F,31,1,23515,2,1,10,CA
F,72,1,23510,1,0,1,OK
M,52,1,23491,2,0,4,NM
M,44,1,23487,2,0,2,NC
F,22,1,23463,5,0,5,MA
F,21,4,23448,1,1,6,ND
F,55,1,23439,4,0,3,AR
F,42,1,23434,4,0,3,CA
F,54,4,23433,1,1,13,OR
M,54,4,23432,1,1,7,MI
F,63,1,23420,0,1,11,WA
F,75,2,23410,5,0,3,RI
F,34,1,23403,5,0,2,VA
M,39,1,23366,4,0,4,MS
F,28,4,23342,2,0,3,NC
M,53,4,23335,3,0,5,RI
M,60,1,23334,5,0,4,NJ
F,68,1,23328,0,0,4,IN
F,73,4,23328,5,0,4,AK
M,37,1,23292,3,0,5,MS
M,27,1,23292,2,1,8,MI
F,24,4,23284,2,0,3,CT
F,58,4,23262,1,1,11,MI
M,37,1,23147,4,1,10,MI
M,29,4,23116,1,1,11,PA
M,35,4,23088,1,0,2,OK
M,33,1,23081,2,0,2,FL
F,64,1,23066,0,0,3,ME
M,59,1,23058,5,0,3,NC
M,67,1,23057,1,0,3,ID
F,67,4,23056,1,1,10,ID
M,33,2,23049,0,1,7,MD
F,62,4,23016,2,0,4,MN
F,50,1,23016,2,0,2,OK
M,46,1,23001,0,0,3,CO
M,53,4,22996,5,0,3,WA
F,43,1,22995,4,0,3,AK
M,26,4,22993,2,0,13,KS
F,59,4,22986,2,1,18,OR
M,43,1,22978,1,0,4,IL
M,83,4,22976,3,0,3,NH
M,73,1,22976,2,0,3,SD
F,46,1,22972,4,0,2,MS
F,56,1,22968,5,1,7,CA
F,85,4,22960,2,0,4,CT
M,25,1,22954,1,1,9,CA
F,32,1,22951,1,1,7,ND
M,63,4,22948,2,0,4,TN
F,47,1,22943,2,0,5,PA
M,41,1,22943,1,1,8,MD
M,23,1,22942,0,1,9,OR
M,33,1,22939,0,1,8,ID
M,75,1,22937,1,1,14,PA
M,27,1,22929,3,0,4,MA
F,57,1,22926,4,0,2,OH
M,52,1,22923,4,0,2,WI
F,28,1,22919,1,1,9,ND
F,42,1,22914,2,0,6,ND
M,28,1,22912,4,1,10,OR
F,45,1,22910,2,0,3,NV
M,49,1,22910,0,1,12,MI
M,31,4,22908,2,0,4,PA
F,77,1,22905,2,0,1,UT
F,61,1,22905,3,0,3,ND
F,74,1,22905,1,0,3,NM
M,58,4,22903,4,0,3,UT
F,69,4,22899,2,0,4,AZ
M,65,1,22896,2,1,8,PA
M,55,1,22888,1,0,2,PA
F,57,4,22886,1,0,3,MO
F,81,4,22885,2,0,2,VT
F,73,4,22884,1,0,4,NJ
F,37,4,22881,4,0,5,IN
M,74,1,22879,3,0,2,MS
F,49,1,22877,5,0,2,NE
M,82,1,22877,1,0,3,SC
M,40,1,22872,5,0,4,FL
F,36,1,22866,1,1,14,CA
F,47,4,22866,2,0,5,AK
M,42,1,22866,0,1,14,MD
M,73,1,22863,1,0,3,WA
M,33,1,22859,1,1,10,ID
M,57,1,22858,2,0,2,MS
F,43,1,22855,2,0,5,MS
F,33,1,22853,1,1,9,CA
F,28,4,22853,2,0,3,DC
M,46,4,22846,1,0,3,VT
M,46,1,22845,2,0,4,NV
F,59,4,22843,1,1,12,ND
M,66,1,22837,5,0,3,AZ
F,25,1,22836,3,1,10,ND
F,60,1,22830,4,0,1,PA
F,46,1,22830,4,0,3,PA
F,38,1,22829,1,0,3,OK
M,63,1,22829,4,0,4,FL
F,36,1,22826,4,0,5,WI
M,22,1,22825,0,1,6,WA
M,53,1,22824,2,0,5,VT
F,37,4,22823,5,0,3,AL
M,47,1,22822,2,0,5,SC
F,88,1,22821,1,0,4,TN
F,42,4,22806,1,1,11,WA
F,53,1,22800,3,0,5,NV
M,74,4,22799,0,0,4,WY
F,49,1,22797,5,0,3,FL
M,60,1,22795,1,0,5,PA
F,41,1,22795,1,0,3,CA
M,39,1,22792,1,0,2,CO
M,24,1,22791,0,1,14,MI
M,28,1,22789,2,0,3,FL
F,46,1,22788,0,1,12,WA
M,77,1,22788,3,0,3,OH
M,45,1,22787,2,0,2,WI
M,61,1,22787,1,0,4,MI
F,65,1,22785,2,0,5,NJ
F,55,4,22782,5,0,3,MI
M,45,1,22780,4,0,1,UT
M,29,4,22777,2,1,12,ID
F,56,4,22775,2,0,2,SC
F,39,4,22774,2,0,4,OH
F,40,1,22772,1,1,14,WA
F,43,1,22771,4,0,3,FL
F,51,1,22763,1,0,1,CO
M,52,1,22759,2,0,3,OK
F,35,4,22759,1,0,2,MI
M,57,1,22753,2,0,3,LA
F,29,1,22750,5,0,4,RI
M,31,4,22748,0,0,4,MS
M,80,1,22748,2,0,4,MO
M,28,4,22748,2,1,8,PA
M,26,4,22746,1,1,8,WA
F,70,4,22742,1,0,4,TN
M,74,2,22742,2,0,3,MA
F,35,1,22736,3,0,3,GA
F,38,1,22736,4,0,2,WY
M,49,4,22735,1,0,3,MN
M,62,4,22730,2,0,3,WY
F,64,1,22727,2,0,3,MD
M,58,1,22726,0,1,13,MI
F,49,1,22725,1,0,4,WA
M,22,4,22720,5,0,3,CT
F,30,4,22719,2,1,10,CA
F,83,4,22719,1,0,3,OR
M,52,4,22718,1,0,2,AR
F,89,4,22718,5,0,3,ID
F,78,4,22717,5,0,3,ID
F,35,1,22713,1,1,13,CA
M,33,1,22712,0,1,8,ND
F,27,4,22712,2,0,4,MO
M,57,4,22709,4,0,3,FL
M,70,1,22701,0,0,1,WA
F,49,1,22692,1,0,3,NH
M,50,1,22690,4,0,4,MT
M,26,1,22688,0,1,12,OR
F,42,1,22687,2,0,5,SD
F,48,1,22684,2,0,1,LA
M,39,4,22684,1,0,3,VA
F,49,1,22679,1,0,4,NM
M,35,4,22679,2,0,1,OR
F,64,1,22676,2,0,4,WI
F,65,4,22669,3,0,2,DE
M,42,1,22669,5,0,3,GA
M,76,1,22667,5,0,4,MI
F,31,4,22666,2,1,9,WA
F,48,1,22662,3,0,4,WY
M,30,4,22658,1,0,10,NC
F,51,1,22656,1,0,4,KY
F,58,1,22652,2,0,3,WI
M,39,4,22640,2,0,2,NV
F,32,1,22639,2,1,11,MI
M,39,1,22636,1,1,6,PA
M,62,1,22636,3,0,2,MD
M,34,1,22636,2,0,4,MI
M,64,4,22634,4,0,3,IN
F,45,1,22632,1,0,5,WA
F,52,4,22630,3,0,2,AK
M,37,1,22628,1,0,3,IL
M,53,1,22628,2,0,3,FL
M,40,1,22628,3,0,3,RI
M,28,1,22627,2,1,7,CA
M,53,1,22627,1,1,9,OR
F,50,1,22620,1,0,3,IN
M,59,1,22619,2,0,1,AZ
M,42,4,22618,1,0,3,AZ
F,28,1,22616,2,1,6,CA
M,29,1,22616,2,0,3,CO
F,39,1,22611,2,0,3,CA
F,65,1,22611,3,0,3,MD
F,61,4,22608,1,0,5,AR
F,82,1,22604,1,0,3,GA
M,34,1,22601,0,1,12,MI
M,35,1,22599,0,1,9,PA
M,51,4,22599,4,0,3,MS
F,57,1,22595,2,0,3,ME
M,46,1,22586,5,0,3,WV
F,39,4,22585,3,0,3,ND
M,58,1,22582,1,0,3,LA
F,47,1,22577,2,1,11,PA
M,66,1,22575,2,0,2,WA
M,53,1,22568,1,0,4,MI
F,52,1,22567,2,0,3,NE
F,30,1,22566,3,0,1,SC
M,33,1,22563,5,1,8,OR
M,68,1,22557,2,1,14,WA
F,59,1,22552,1,0,2,AL
F,45,4,22551,1,1,10,WA
F,58,1,22551,1,0,3,NH
M,53,1,22550,1,0,3,WA
M,56,1,22549,1,0,3,WY
F,39,4,22549,1,1,8,ND
M,54,1,22545,2,0,2,ID
M,40,2,22544,2,0,4,NH
M,45,1,22542,2,0,2,MS
F,51,1,22538,2,0,2,MD
F,51,4,22531,3,0,4,IL
M,21,4,22528,2,0,2,WA
F,68,1,22526,5,0,3,MS
M,58,4,22523,1,0,3,NM
F,45,1,22522,5,0,3,NM
M,27,1,22520,3,0,3,CO
M,61,4,22518,1,0,3,NY
M,67,1,22506,2,0,3,OR
F,35,1,22506,3,0,2,FL
M,42,1,22504,3,0,4,AZ
M,30,4,22501,1,1,10,MI
F,29,4,22501,4,1,8,MI
F,59,4,22497,2,0,4,NJ
F,31,1,22494,4,0,4,NJ
M,38,4,22490,1,0,1,MA
F,56,1,22487,2,0,4,MI
F,26,1,22487,1,1,11,ND
M,28,1,22481,2,1,14,PA
M,76,1,22480,4,0,3,SC
F,63,1,22479,2,0,5,TX
M,38,1,22476,2,0,3,WI
M,56,4,22474,2,0,3,TN
F,62,2,22474,4,0,4,MT
M,52,1,22466,3,0,3,NH
F,80,4,22464,2,0,2,AR
F,84,1,22459,1,0,3,MN
M,48,1,22456,1,0,3,DC
F,73,4,22453,0,1,7,ID
M,55,1,22448,0,0,3,ND
M,51,1,22444,2,0,2,ND
F,84,4,22443,2,0,1,NH
M,28,1,22443,2,1,13,CA
M,80,4,22442,3,0,3,OK
F,51,1,22442,1,0,3,SD
M,31,1,22442,2,0,3,LA
M,34,4,22442,2,0,5,MA
M,76,4,22439,0,0,3,NH
F,36,4,22439,0,1,14,MD
M,57,2,22438,1,1,13,ID
F,33,4,22432,5,0,3,AK
F,38,1,22430,5,0,3,NY
M,63,1,22424,4,0,4,GA
M,20,1,22424,1,0,1,PA
M,47,4,22421,1,0,4,ID
M,66,1,22420,1,0,3,SD
M,80,1,22419,2,0,3,CA
M,52,4,22413,3,0,3,NC
F,51,4,22409,1,0,1,MO
F,48,4,22409,2,0,3,TN
F,37,4,22408,0,1,7,PA
F,33,1,22406,1,1,12,WA
M,64,1,22403,4,0,2,NV
M,41,1,22402,0,0,1,UT
F,89,1,22401,1,0,3,FL
F,33,1,22400,4,0,4,NC
F,56,1,22399,4,1,10,PA
M,55,4,22393,2,0,4,MS
M,36,1,22393,2,0,4,SD
M,35,4,22392,1,1,10,WA
F,60,1,22392,1,0,3,SD
M,65,4,22388,2,0,2,WY
M,81,1,22381,0,0,4,ND
F,35,4,22380,3,0,1,LA
F,59,1,22380,2,0,1,WV
M,69,4,22379,2,1,10,OR
M,54,1,22379,0,0,3,ID
F,80,1,22376,1,0,3,SD
M,72,1,22375,2,0,2,OR
M,71,1,22374,1,0,3,VA
M,56,1,22372,1,0,4,CA
F,36,1,22368,1,1,11,PA
F,55,1,22367,2,1,8,WA
F,56,1,22360,2,0,4,WA
F,78,1,22359,2,0,3,RI
F,72,1,22359,2,0,2,MS
F,60,1,22358,1,1,8,ND
M,33,4,22356,3,0,5,NH
F,65,1,22354,2,1,7,ID
M,48,4,22351,2,1,5,ID
F,27,1,22350,4,0,4,ID
F,58,1,22350,2,0,2,TN
F,36,4,22349,2,0,3,WY
F,25,1,22336,4,0,3,MA
M,39,4,22333,5,0,4,SC
F,44,1,22331,2,0,4,NV
M,59,1,22330,1,1,11,MI
M,22,1,22328,2,0,4,WV
F,34,1,22327,1,0,3,VT
F,36,1,22326,3,0,3,NJ
M,74,4,22324,1,0,3,WY
M,36,4,22324,5,0,4,TN
M,60,1,22324,0,0,3,CA
F,70,1,22322,1,1,10,WA
M,30,4,22322,2,0,3,MT
F,68,1,22320,2,0,4,PA
F,25,1,22318,2,0,3,TX
M,23,1,22317,1,0,5,SD
M,51,1,22317,5,0,3,WI
M,41,1,22315,1,0,4,IN
M,48,1,22313,1,1,11,WA
F,31,4,22312,1,1,15,MI
F,42,4,22310,3,0,4,OH
M,72,1,22309,2,0,3,WI
F,69,1,22304,2,0,4,OR
M,54,1,22303,4,0,3,WA
F,57,4,22303,4,1,8,WA
M,39,1,22300,2,0,3,TX
F,28,1,22298,2,0,3,OR
F,38,4,22297,1,1,11,CA
F,47,1,22294,4,1,11,MD
M,24,1,22293,1,1,14,ND
M,48,1,22293,0,1,7,MI
M,48,1,22292,3,0,1,FL
M,60,4,22288,1,0,3,PA
M,63,4,22287,2,0,2,NY
F,43,4,22284,3,0,3,NE
M,71,4,22284,2,0,1,MI
F,81,1,22281,2,0,2,NH
F,42,1,22278,2,0,4,OR
M,59,4,22277,1,0,2,WI
M,50,1,22275,3,0,4,WI
M,30,1,22273,1,1,13,ID
M,64,1,22273,2,0,2,VA
M,44,1,22271,0,1,8,WA
F,56,1,22271,4,0,3,SD
F,44,4,22269,2,1,10,ID
M,33,1,22268,0,1,14,CA
F,66,4,22267,1,0,1,OR
M,21,1,22262,4,1,11,OR
F,62,4,22262,1,0,2,ME
F,55,1,22261,3,0,5,AR
M,52,1,22257,4,0,3,CT
M,62,1,22255,1,0,3,NH
F,36,1,22250,1,1,16,ND
F,23,4,22250,4,0,4,MT
M,53,1,22250,5,1,8,MD
M,61,1,22246,2,0,4,DC
M,40,1,22238,0,1,13,OR
F,82,1,22233,2,1,10,MI
M,38,4,22229,2,0,0,MS
M,27,1,22226,2,0,3,OH
M,37,4,22223,5,0,4,NC
F,48,4,22223,2,0,4,OK
F,34,4,22221,3,0,0,ND
F,36,1,22218,3,0,4,VA
M,65,1,22218,2,0,3,SC
F,43,1,22214,3,0,4,NY
F,37,1,22210,2,0,1,NH
M,64,1,22207,1,1,7,CA
F,32,1,22206,1,0,2,AR
F,31,1,22202,1,1,7,PA
F,35,1,22201,0,0,4,MS
M,48,1,22201,2,0,3,WV
M,37,1,22200,2,0,5,CO
M,60,1,22198,2,0,3,NY
F,63,4,22189,0,0,3,MN
F,29,1,22189,5,0,2,AK
M,22,4,22189,3,1,5,PA
M,52,1,22184,4,0,4,NJ
M,64,1,22181,1,0,3,DE
M,46,4,22180,1,1,6,OR
F,37,1,22176,2,0,3,ND
M,37,4,22174,0,1,10,WA
M,26,1,22165,1,1,18,MI
M,34,1,22165,2,0,3,TX
M,45,4,22163,3,0,2,KY
M,21,1,22159,4,0,3,TX
F,64,1,22158,2,0,4,NC
M,55,1,22156,1,1,12,MI
F,71,4,22150,3,0,2,WA
F,53,1,22148,2,0,5,MD
F,64,1,22144,1,0,3,KS
M,62,1,22141,1,0,3,AL
F,42,4,22140,4,0,5,KY
M,20,2,22139,1,1,11,MD
F,55,4,22129,2,0,3,AK
M,54,4,22128,1,0,3,TX
M,47,1,22122,1,1,9,ID
F,55,1,22121,2,0,4,CT
F,24,1,22117,1,1,10,WA
M,43,1,22116,1,0,3,MA
M,24,1,22115,2,1,11,MD
M,61,4,22110,4,1,9,WA
